來源檔,階段,清洗規則,實作位置,實測效果
re_sites.csv,剔除,依發電站編號含「小計」剔除彙總列,src/align/renewable.py:is_subtotal,"97 列 → 93 列明細；直接加總全部 97 列會得 1,514,419 瓩，實際明細只有 757,960 瓩，重複計算近一倍"
re_sites.csv,解析,雙語字串取中文側，並剝除黏在中文後的拉丁字母,src/align/renewable.py:chinese_part,修復官方漏掉 / 分隔符的「彰工風力Changgong Wind Power」
re_sites.csv,解析,從地址解析縣市,src/align/renewable.py:parse_county,93／93 成功，涵蓋 19 個縣市；小計列的地址欄塞的是說明文字，解析為 None
re_sites.csv,彙總,同一發電站的多個場址彙總成一列,src/align/renewable.py:build_station_records,93 個場址 → 64 個發電站；容量與風機數相加，型號與申設狀態以 | 併列
re_generation.csv,解析,發電量分類為 ok／missing／suspect／invalid,src/align/renewable.py:parse_generation,"1,976 列中 1,959 ok、16 missing、1 suspect"
re_generation.csv,保留,缺值存 NULL 而不是 0,src/align/renewable.py:parse_generation,16 筆缺值：15 筆中屯風力、1 筆澎湖龍門風力 2024-02，經月報證實都是機組確實未發電
re_generation.csv,修復,suspect 值不列入加總，除非 overrides 有附依據的人工修復,src/align/renewable.py:repair_generation,"1 筆：澎湖湖西風力 2024-07 原始值「357,156.00 2」，經 11307 月報驗算（382,722 毛 − 25,566 廠用 = 357,156）後修復"
re_generation.csv,對齊,去掉發電站名稱結尾的「發電站」後與場址主檔比對,src/align/renewable.py:normalize_station,直接 join 只有 10 站對上；去後綴後 62 站；加 2 組人工確認別名 = 64 對齊（98.5%）；再加補充檔 = 65 覆蓋（100%）
units_generation.json,剔除,剔除混在明細中的小計列（機組名稱含「小計」）,src/align/column_capacity.py:_realtime_index,215 列中 10 列是小計；風力的小計列寫成「小計(註5)」而非「小計」
units_generation.json,解析,容量欄剝除百分比括號,src/align/column_capacity.py:parse_megawatts,小計列寫成「15918.1(26.052%)」，需取前綴數字
units_generation.json,換算,MW → 瓩（×1000）,src/align/column_capacity.py:megawatts_to_kilowatts,與機組主檔同單位才能進 dim_b_column.capacity_kw
units_generation.json,記錄,容量來源附當次快照的 SHA-256 前綴,src/ingest/build_db.py:_insert_column_capacities,這是每 10 分鐘覆寫的快照不是主檔，機組除役會直接消失（麥寮即如此），必須能回溯是哪一刻的狀態
nuclear_units.csv,換算,MWe → 瓩（×1000）,src/align/column_capacity.py:_nuclear_index,核一 636×2、核二 985×2、核三 951×2
nuclear_units.csv,排除,裝置容量欄非純數字者排除,src/align/column_capacity.py:_nuclear_index,龍門廠（核四）2 列商轉日期寫「封存中」，每日資料也沒有對應欄位，故不採用
（跨檔）,檢查,填入的容量套用與 crosswalk 相同的容量比門檻,src/ingest/build_db.py:_insert_column_capacities,21 欄設定、18 欄補到容量；2 欄逾界寫入 KNOWN_CAPACITY_GAP：汽電共生 332%、星彰#1 107%
